customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9928-64987,Male,1,Yes,No,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,42.07,2145.57,No
4611-68878,Male,0,No,Yes,42,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,111.31,4675.02,No
5557-10851,Male,0,Yes,No,24,Yes,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,42.94,1030.56,No
3615-65392,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),54.77,1643.1,Yes
6574-46421,Male,1,No,Yes,37,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),25.05,926.85,No
3547-38221,Female,0,No,No,53,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,82.81,4388.93,No
6514-23396,Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,76.33,4808.79,No
2519-59797,Female,0,Yes,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),116.18,1277.98,Yes
2584-57052,Male,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,109.23,2512.29,No
6635-89131,Female,0,No,Yes,50,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.59,3529.5,No
5333-15695,Male,0,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.93,4451.15,Yes
8527-80284,Female,0,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,61.32,3372.6,No
3045-59615,Female,0,Yes,Yes,4,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),33.25,133.0,No
2291-82357,Female,1,Yes,No,54,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Electronic check,106.78,5766.12,No
5803-92397,Female,0,No,No,61,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.95,4571.95,No
6925-85674,Female,0,Yes,Yes,5,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),62.54,312.7,No
4150-19116,Female,1,No,No,18,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,26.85,483.3,No
1750-96673,Female,0,Yes,Yes,44,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Electronic check,86.54,3807.76,Yes
4733-47930,Female,1,No,Yes,31,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,59.97,1859.07,No
2307-40512,Male,0,No,Yes,21,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,45.37,952.77,Yes
2654-59823,Male,1,Yes,No,47,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),107.68,5060.96,No
5554-69429,Female,0,No,No,30,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,38.36,1150.8,Yes
6977-31319,Female,0,No,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),71.5,3932.5,No
7065-56566,Female,0,No,No,68,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),99.58,6771.44,No
4432-97841,Male,1,Yes,Yes,69,Yes,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.91,7238.79,No
5374-99593,Female,0,No,Yes,41,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),101.87,4176.67,No
2169-89840,Male,0,Yes,No,45,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,109.66,4934.7,No
3803-80010,Male,0,Yes,No,30,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),34.24,1027.2,No
5010-31417,Male,0,No,No,45,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),114.05,5132.25,Yes
8573-59735,Male,0,Yes,No,45,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,No,Electronic check,21.08,948.6,No
5422-93886,Male,0,No,Yes,45,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,45.59,2051.55,No
4598-99733,Female,1,Yes,No,55,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.4,1562.0,No
6313-17331,Female,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,114.55,6758.45,No
4752-14207,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,62.39,311.95,No
6168-62581,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,51.53,1648.96,Yes
5386-18675,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,36.71,220.26,No
4456-84341,Male,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),35.58,925.08,No
6155-37869,Female,0,No,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,81.39,3011.43,No
9179-61856,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.71,321.23,No
8517-28726,Male,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.43,5480.67,No
5339-28301,Female,0,No,No,25,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),97.46,2436.5,No
5040-83579,Male,1,Yes,Yes,13,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),80.1,1041.3,No
9830-44438,Female,1,No,Yes,20,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,102.66,2053.2,No
8019-86484,Male,0,No,Yes,60,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),46.53,2791.8,Yes
7543-57447,Female,1,Yes,No,21,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,27.72,582.12,No
4593-28131,Female,0,Yes,Yes,61,Yes,No phone service,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),92.1,5618.1,No
9348-74686,Male,0,No,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),102.81,2673.06,No
2489-16175,Male,0,Yes,No,54,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),70.17,3789.18,No
2796-30033,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,102.06,4286.52,No
3621-99192,Male,0,Yes,Yes,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,65.79,723.69,No
7916-88172,Male,0,Yes,Yes,37,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),39.85,1474.45,Yes
2040-60432,Male,0,Yes,Yes,11,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),67.44,741.84,No
7252-88104,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,41.6,1123.2,No
8668-79352,Male,0,Yes,No,34,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,67.2,2284.8,No
5119-82512,Female,0,No,No,38,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,34.76,1320.88,Yes
1188-99166,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,38.56,2352.16,No
2876-99353,Male,0,Yes,No,53,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.29,5739.37,No
9797-44973,Female,1,No,Yes,65,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,31.59,2053.35,Yes
6573-24621,Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,42.43,127.29,No
5808-66985,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,119.55,8009.85,No
3591-69470,Female,1,Yes,Yes,28,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),77.6,2172.8,No
1053-44522,Male,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),78.58,1100.12,Yes
9201-33416,Female,0,No,Yes,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),104.5,5434.0,No
9317-23947,Male,0,No,Yes,30,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,72.43,2172.9,No
5889-93748,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),42.18,2446.44,No
9317-89818,Female,1,No,No,54,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,62.25,3361.5,Yes
4258-30032,Female,0,Yes,Yes,69,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,95.5,6589.5,Yes
7126-31174,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,107.24,1608.6,Yes
9837-79514,Female,0,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,47.32,1798.16,Yes
1009-88504,Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,46.2,646.8,No
6310-74042,Female,1,Yes,Yes,57,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,52.76,3007.32,No
1319-24662,Male,0,No,No,59,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),79.62,4697.58,No
6947-50306,Female,0,Yes,Yes,8,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,47.85,382.8,No
4923-17592,Male,0,No,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,109.31,2076.89,Yes
4946-84364,Male,0,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,117.8,3769.6,No
2290-21226,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,87.91,2549.39,No
8962-19071,Male,0,Yes,Yes,41,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,117.03,4798.23,No
9727-26483,Female,0,No,No,45,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),48.79,2195.55,No
3103-96474,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,101.52,1319.76,Yes
8787-82063,Female,1,No,Yes,27,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),87.84,2371.68,No
3705-44741,Female,1,Yes,No,19,Yes,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),46.32,880.08,Yes
9645-89507,Female,0,No,No,26,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.84,1347.84,No
7932-37760,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),68.86,3649.58,No
9835-36365,Female,0,No,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),99.16,5057.16,No
6107-62296,Female,0,No,Yes,37,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,107.22,3967.14,No
7118-67422,Female,0,No,No,9,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),83.39,750.51,Yes
9479-69177,Female,0,No,Yes,52,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),92.16,4792.32,No
2982-42493,Female,0,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.38,2504.52,No
4681-18392,Male,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),94.11,282.33,No
6539-12757,Male,0,Yes,No,69,No,No phone service,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,80.5,5554.5,No
4770-87128,Female,0,No,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,42.29,338.32,No
4608-10942,Female,0,No,No,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),115.02,1610.28,Yes
2163-92719,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.29,213.87,Yes
1964-40007,Female,0,No,Yes,24,Yes,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.45,2386.8,No
2104-14117,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,72.56,943.28,Yes
6413-19287,Female,0,No,Yes,43,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,113.29,4871.47,Yes
9423-41195,Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),34.13,989.77,No
5562-97684,Female,0,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),74.62,3805.62,No
8953-38080,Male,0,Yes,No,42,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),22.52,945.84,No
9834-27342,Female,1,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,39.74,1231.94,No
8744-41850,Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,48.1,3030.3,No
8749-63354,Female,0,Yes,Yes,26,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,67.26,1748.76,Yes
4119-22363,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),102.02,1836.36,No
2588-96374,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),66.67,3800.19,No
8062-56438,Female,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.12,532.84,Yes
7939-63883,Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),112.41,5395.68,No
8651-17100,Female,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),95.65,5739.0,Yes
2612-17944,Female,1,No,Yes,33,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,25.02,825.66,Yes
7596-54473,Male,0,No,Yes,3,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Mailed check,37.65,112.95,No
2790-42591,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,23.82,95.28,Yes
4139-34931,Male,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),26.91,107.64,No
9786-68800,Female,0,Yes,No,42,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),53.89,2263.38,No
3296-65296,Male,1,Yes,Yes,9,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),92.79,835.11,No
4006-46509,Male,0,No,Yes,51,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.44,2266.44,Yes
8579-42742,Female,1,Yes,No,17,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,59.23,1006.91,No
2235-68082,Female,0,Yes,No,17,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),59.39,1009.63,No
2604-16630,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.03,1580.6,No
9856-11934,Female,0,Yes,Yes,14,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),109.29,1530.06,No
2528-40982,Female,0,Yes,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,118.32,2603.04,Yes
3724-63269,Female,0,No,Yes,52,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),80.46,4183.92,No
8956-73092,Male,0,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,70.51,1903.77,No
4502-62565,Male,0,No,No,43,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,88.19,3792.17,No
1960-31579,Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),86.8,260.4,Yes
7209-10282,Male,0,No,Yes,8,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,72.39,579.12,Yes
7396-44760,Male,0,Yes,No,10,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,93.7,937.0,No
8454-47388,Male,1,No,No,29,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.13,2004.77,No
7930-82845,Male,0,No,Yes,40,Yes,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),119.65,4786.0,No
8973-30289,Male,1,No,Yes,65,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),24.9,1618.5,Yes
4111-48890,Male,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),64.32,1350.72,No
4566-17665,Female,0,Yes,Yes,24,Yes,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,59.7,1432.8,No
9883-17989,Male,0,No,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,97.03,5821.8,Yes
6138-17492,Female,0,No,Yes,26,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),39.08,1016.08,No
1821-86569,Female,0,No,No,9,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,63.41,570.69,Yes
8811-75909,Female,0,No,No,20,Yes,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,89.79,1795.8,Yes
9701-30635,Male,0,Yes,No,56,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,80.32,4497.92,No
1931-76562,Male,1,No,No,36,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,74.51,2682.36,No
2312-34356,Male,0,No,No,36,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Mailed check,63.5,2286.0,No
2122-87992,Male,0,No,No,22,Yes,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),95.2,2094.4,No
2113-98501,Female,0,No,Yes,1,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,84.64,84.64,No
4853-62923,Male,0,No,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,107.47,7415.43,No
2964-84668,Male,0,No,Yes,37,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),93.3,3452.1,No
5033-85880,Male,0,Yes,No,13,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),34.04,442.52,Yes
1651-91183,Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),81.95,3523.85,Yes
2343-64948,Male,0,Yes,Yes,37,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Electronic check,24.45,904.65,No
9565-51467,Female,0,Yes,Yes,25,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),58.74,1468.5,No
5272-36772,Male,1,No,Yes,21,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.19,1284.99,No
6147-41285,Female,1,Yes,Yes,41,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,No,Credit card (automatic),105.49,4325.09,No
5351-61876,Male,0,No,Yes,42,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.04,1597.68,No
3144-98039,Female,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,84.35,3542.7,No
5915-69929,Male,0,No,No,2,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,39.24,78.48,Yes
6180-19508,Male,1,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.87,7811.16,No
1152-70068,Female,0,Yes,Yes,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,72.95,583.6,Yes
2638-19602,Female,0,No,No,61,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),90.82,5540.02,No
9808-37938,Female,0,Yes,Yes,14,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),84.65,1185.1,No
9288-44760,Male,0,Yes,No,21,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.36,1057.56,No
3170-55745,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),110.12,2642.88,No
2127-42018,Male,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.72,4136.0,No
7054-47353,Male,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),71.03,3196.35,Yes
3584-67433,Female,0,No,No,64,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,72.84,4661.76,No
9900-49651,Female,0,Yes,No,64,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),109.07,6980.48,No
9666-11025,Male,0,Yes,No,26,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,25.91,673.66,Yes
5905-96951,Male,0,No,No,32,Yes,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,58.91,1885.12,Yes
